戦略,利確pips,損切りpips,時間帯,曜日,ボラ条件,トレンド条件,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"MACDクロス(12,26,9)",8,5,NY(21-23時),全曜日,なし,トレンド順方向のみ,645,1.3,37.1,-128.2,7.89,-4.96,0.936,-287.5,10,256,1.3,37.1,-45.0,8.0,-5.0,0.944,-112.0,9,1.009,52.7,不採用
"RSI逆張り(30,70)",8,5,ロンドン(16-21時),全曜日,なし,下降トレンドのみ,487,1.8,36.1,-147.0,8.0,-5.0,0.905,-256.0,14,179,1.8,37.4,-24.0,8.0,-5.0,0.957,-144.0,14,1.057,52.7,不採用
"MACDクロス(12,26,9)",10,20,東京(9-15時),全曜日,なし,なし,2747,2.6,65.1,-1139.7,9.98,-19.8,0.94,-1866.2,6,1147,3.0,66.3,-50.1,9.98,-19.81,0.993,-581.6,6,1.056,52.6,不採用
"MACDクロス(12,26,9)",10,10,NY(21-23時),全曜日,なし,トレンド順方向のみ,604,1.2,48.3,-209.8,9.53,-9.59,0.93,-447.3,10,246,1.2,50.0,-34.9,9.72,-10.0,0.972,-170.4,11,1.045,52.6,不採用
"EMAクロス(10,50)",15,5,東京(9-15時),全曜日,なし,下降トレンドのみ,559,1.6,27.2,231.8,14.91,-5.0,1.114,-195.0,13,205,1.6,24.9,-5.0,15.0,-5.0,0.994,-135.0,14,0.892,52.6,不採用
"MACDクロス(12,26,9)",5,5,16時台,全曜日,なし,なし,1030,1.4,46.6,-350.0,5.0,-5.0,0.873,-460.0,11,394,1.4,48.5,-60.0,5.0,-5.0,0.941,-155.0,8,1.078,52.6,不採用
"EMAクロス(5,20)",15,20,東京(9-15時),全曜日,なし,下降トレンドのみ,683,1.4,59.7,604.9,14.74,-19.67,1.112,-205.0,5,281,1.5,56.9,-18.5,14.86,-19.81,0.992,-225.6,6,0.892,52.5,不採用
"MACDクロス(12,26,9)",8,10,10時台,全曜日,なし,なし,826,1.2,53.4,-322.0,8.0,-10.0,0.916,-390.0,8,341,1.2,54.5,-62.0,8.0,-10.0,0.96,-202.0,6,1.048,52.5,不採用
"RSI逆張り(30,70)",20,15,22時台,全曜日,なし,なし,458,1.1,42.6,-352.8,16.1,-13.28,0.899,-739.0,6,149,1.1,43.6,-34.8,17.2,-13.72,0.97,-237.0,7,1.079,52.5,不採用
"RSI逆張り(30,70)",20,5,NY(21-23時),全曜日,なし,上昇トレンドのみ,425,1.4,18.8,-426.0,16.08,-4.96,0.751,-421.0,27,140,1.5,20.0,-35.8,18.57,-4.96,0.936,-158.9,13,1.246,52.5,不採用
"MACDクロス(12,26,9)",15,5,NY(21-23時),全曜日,なし,上昇トレンドのみ,805,1.7,27.1,62.3,13.7,-4.98,1.021,-223.4,19,321,2.0,25.5,-25.8,14.21,-4.98,0.978,-130.0,15,0.958,52.4,不採用
"MACDクロス(12,26,9)",15,15,東京(9-15時),全曜日,なし,なし,2745,2.6,48.3,-1401.1,14.91,-14.92,0.934,-1770.5,11,1185,3.1,49.9,-24.3,14.98,-14.94,0.997,-630.0,10,1.067,52.4,不採用
"MACDクロス(12,26,9)",8,5,東京(9-15時),全曜日,なし,上昇トレンドのみ,1796,2.8,35.7,-647.0,8.0,-5.0,0.888,-911.0,19,734,3.1,37.7,-69.0,8.0,-5.0,0.97,-201.0,9,1.092,52.4,不採用
"RSI逆張り(30,70)",5,5,東京(9-15時),全曜日,なし,レンジのみ,612,1.6,49.7,-20.0,5.0,-5.0,0.987,-190.0,8,240,1.6,48.3,-40.0,5.0,-5.0,0.935,-95.0,8,0.947,52.4,不採用
"MACDクロス(12,26,9)",5,10,東京(9-15時),全曜日,なし,レンジのみ,1378,2.0,65.2,-300.6,5.0,-9.98,0.937,-465.0,5,523,2.0,65.8,-70.0,5.0,-10.0,0.961,-240.0,5,1.026,52.4,不採用
"MACDクロス(12,26,9)",5,5,16時台,全曜日,なし,上昇トレンドのみ,417,1.3,44.6,-225.0,5.0,-5.0,0.805,-295.0,10,159,1.4,47.2,-45.0,5.0,-5.0,0.893,-105.0,8,1.109,52.4,不採用
トレンド押し目(EMA200+RSI40/60),15,10,全時間,全曜日,なし,下降トレンドのみ,911,1.6,39.7,-255.0,14.28,-9.88,0.953,-659.8,11,361,1.6,39.6,-39.3,14.87,-9.94,0.982,-249.0,8,1.03,52.4,不採用
"EMAクロス(10,50)",8,20,東京(9-15時),全曜日,なし,トレンド順方向のみ,319,1.1,67.4,-343.4,7.97,-19.78,0.833,-469.5,5,116,1.1,68.1,-76.0,8.0,-19.14,0.893,-108.0,4,1.072,52.4,不採用
"EMAクロス(5,20)",8,5,21時台,全曜日,なし,上昇トレンドのみ,356,1.4,39.6,53.0,8.0,-5.0,1.049,-108.0,11,131,1.3,37.4,-18.0,8.0,-5.0,0.956,-86.0,11,0.911,52.3,不採用
トレンド押し目(EMA200+RSI40/60),15,5,9時台,全曜日,なし,なし,427,1.2,26.5,118.3,14.94,-5.0,1.075,-130.0,14,139,1.2,24.5,-15.0,15.0,-5.0,0.971,-95.0,13,0.903,52.3,不採用
"MACDクロス(12,26,9)",5,20,東京(9-15時),全曜日,なし,上昇トレンドのみ,1309,2.0,77.5,-800.5,5.0,-19.9,0.864,-950.5,4,513,2.2,79.1,-104.2,5.0,-19.95,0.951,-364.2,3,1.101,52.3,不採用
"MACDクロス(12,26,9)",20,5,東京(9-15時),全曜日,なし,上昇トレンドのみ,1621,2.5,20.6,201.1,19.87,-5.0,1.031,-287.4,25,651,2.8,20.0,-14.4,19.91,-5.0,0.994,-220.0,24,0.964,52.2,不採用
"EMAクロス(10,50)",10,10,10時台,全曜日,なし,なし,336,1.1,49.7,-16.4,10.0,-9.98,0.99,-196.4,6,116,1.1,48.3,-40.0,10.0,-10.0,0.933,-110.0,5,0.942,52.2,不採用
"MACDクロス(12,26,9)",15,5,NY(21-23時),全曜日,なし,レンジのみ,475,1.5,27.2,164.1,14.59,-4.96,1.096,-124.2,15,185,1.6,25.4,-20.1,14.24,-5.0,0.971,-102.5,10,0.886,52.2,不採用
"RSI逆張り(25,75)",5,20,東京(9-15時),全曜日,なし,上昇トレンドのみ,341,1.4,73.9,-520.0,5.0,-20.0,0.708,-605.0,4,119,1.4,77.3,-80.0,5.0,-20.0,0.852,-135.0,3,1.203,52.1,不採用
"MACDクロス(12,26,9)",10,10,NY(21-23時),全曜日,なし,レンジのみ,425,1.4,45.9,-343.8,9.71,-9.72,0.846,-483.9,8,168,1.5,47.6,-67.0,9.78,-9.65,0.921,-134.4,6,1.089,52.1,不採用
"RSI逆張り(30,70)",5,20,東京(9-15時),全曜日,なし,上昇トレンドのみ,656,1.5,75.9,-640.6,5.0,-19.81,0.795,-710.6,5,263,1.6,78.3,-94.5,5.0,-19.73,0.916,-264.5,3,1.152,52.0,不採用
"EMAクロス(5,20)",10,5,21時台,全曜日,なし,なし,829,1.4,34.0,72.0,9.94,-4.99,1.026,-163.0,13,325,1.4,32.6,-37.6,9.98,-5.0,0.966,-130.0,9,0.942,51.9,不採用
"MACDクロス(12,26,9)",10,5,9時台,全曜日,なし,上昇トレンドのみ,361,1.3,34.9,85.0,10.0,-5.0,1.072,-260.0,11,143,1.4,32.2,-25.0,10.0,-5.0,0.948,-80.0,9,0.884,51.9,不採用
トレンド押し目(EMA200+RSI40/60),20,15,東京(9-15時),全曜日,なし,上昇トレンドのみ,302,1.1,40.7,-270.6,19.25,-14.74,0.897,-658.1,13,111,1.1,42.3,-25.9,19.28,-14.57,0.972,-225.0,8,1.084,51.9,不採用
"EMAクロス(5,20)",15,10,NY(21-23時),全曜日,なし,上昇トレンドのみ,547,1.4,42.6,243.1,13.92,-9.55,1.081,-203.7,8,204,1.4,41.2,-2.0,13.75,-9.64,0.998,-211.6,11,0.923,51.8,不採用
トレンド押し目(EMA200+RSI40/60),8,15,全時間,全曜日,なし,下降トレンドのみ,909,1.6,62.4,-489.4,7.93,-14.57,0.902,-617.0,6,357,1.6,63.9,-72.2,7.99,-14.67,0.962,-225.0,6,1.067,51.8,不採用
"MACDクロス(12,26,9)",15,10,16時台,全曜日,なし,なし,885,1.2,42.9,566.0,14.74,-9.97,1.112,-275.2,10,346,1.2,40.5,-4.8,14.65,-9.98,0.998,-240.0,10,0.897,51.7,不採用
"RSI逆張り(30,70)",10,15,東京(9-15時),全曜日,なし,なし,1632,1.9,58.5,-567.3,9.99,-14.92,0.944,-676.8,6,681,2.0,59.6,-55.4,9.99,-14.96,0.987,-475.0,6,1.046,51.7,不採用
"MACDクロス(12,26,9)",10,5,東京(9-15時),全曜日,なし,上昇トレンドのみ,1765,2.7,32.1,-335.0,10.0,-5.0,0.944,-810.0,19,715,3.0,33.0,-35.0,10.0,-5.0,0.985,-255.0,15,1.043,51.7,不採用
"RSI逆張り(30,70)",8,20,ロンドン(16-21時),全曜日,なし,レンジのみ,332,1.1,72.9,217.8,7.99,-19.05,1.127,-203.1,4,104,1.2,70.2,-36.0,8.0,-20.0,0.942,-104.0,4,0.836,51.6,不採用
"RSI逆張り(25,75)",5,10,全時間,全曜日,なし,レンジのみ,694,1.4,67.7,114.9,5.0,-9.98,1.051,-110.0,6,262,1.4,64.9,-63.0,5.0,-9.92,0.931,-118.0,4,0.886,51.6,不採用
"EMAクロス(10,50)",5,20,10時台,全曜日,なし,なし,322,1.0,73.6,-515.0,5.0,-20.0,0.697,-575.0,3,109,1.1,76.1,-96.3,5.0,-19.67,0.812,-100.0,2,1.165,51.5,不採用
"EMAクロス(5,20)",10,15,ロンドン(16-21時),全曜日,なし,下降トレンドのみ,715,1.6,58.3,-272.6,9.9,-14.77,0.938,-462.2,7,302,1.8,59.3,-57.4,9.94,-14.93,0.969,-250.0,6,1.033,51.5,不採用
"RSI逆張り(30,70)",15,15,22時台,全曜日,なし,なし,458,1.1,47.6,-263.1,13.38,-13.25,0.917,-482.7,5,149,1.1,49.0,-53.7,13.65,-13.81,0.949,-175.6,6,1.035,51.4,不採用
"EMAクロス(5,20)",15,20,東京(9-15時),全曜日,なし,なし,1851,1.8,56.2,-468.6,14.83,-19.64,0.971,-1108.0,8,776,2.0,56.8,-29.1,14.95,-19.76,0.996,-565.6,9,1.026,51.3,不採用
トレンド押し目(EMA200+RSI40/60),15,10,9時台,全曜日,なし,なし,392,1.1,41.1,90.7,14.89,-9.98,1.039,-340.0,9,128,1.1,39.1,-20.9,15.0,-9.88,0.973,-120.0,11,0.936,51.3,不採用
"RSI逆張り(25,75)",10,5,ロンドン(16-21時),全曜日,なし,なし,659,1.6,30.5,-283.8,9.98,-5.0,0.876,-313.8,13,230,1.6,32.2,-40.0,10.0,-5.0,0.949,-170.0,12,1.083,51.3,不採用
"MACDクロス(12,26,9)",15,20,16時台,全曜日,なし,上昇トレンドのみ,321,1.0,56.7,-54.0,14.35,-19.17,0.98,-258.4,5,120,1.0,56.7,-49.9,14.35,-19.72,0.951,-192.8,4,0.97,51.2,不採用
トレンド押し目(EMA200+RSI40/60),15,20,9時台,全曜日,なし,なし,366,1.0,57.4,108.2,14.84,-19.28,1.036,-516.1,6,116,1.0,56.0,-39.4,14.79,-19.63,0.961,-235.0,3,0.928,51.2,不採用
トレンド押し目(EMA200+RSI40/60),5,5,9時台,全曜日,なし,なし,428,1.2,44.6,-230.0,5.0,-5.0,0.806,-255.0,7,139,1.2,46.0,-55.0,5.0,-5.0,0.853,-70.0,7,1.058,51.1,不採用
"EMAクロス(10,50)",20,10,9時台,全曜日,なし,なし,443,1.1,35.7,276.2,19.64,-9.92,1.098,-446.0,18,174,1.2,33.3,-19.5,19.66,-10.0,0.983,-159.5,9,0.895,51.0,不採用
"EMAクロス(5,20)",15,5,16時台,全曜日,なし,上昇トレンドのみ,324,1.4,24.7,-52.5,14.59,-5.0,0.957,-223.7,18,138,1.4,23.9,-35.8,14.82,-5.0,0.932,-95.0,11,0.974,50.9,不採用
"EMAクロス(5,20)",8,20,ロンドン(16-21時),全曜日,なし,トレンド順方向のみ,838,1.3,69.5,-77.9,7.95,-18.37,0.983,-265.6,5,327,1.3,69.7,-58.5,7.95,-18.9,0.969,-272.0,5,0.986,50.9,不採用
"MACDクロス(12,26,9)",15,15,NY(21-23時),全曜日,なし,上昇トレンドのみ,631,1.4,50.4,136.1,13.65,-13.43,1.032,-199.1,8,224,1.4,49.6,-48.3,13.88,-14.06,0.97,-149.9,7,0.94,50.9,不採用
トレンド押し目(EMA200+RSI40/60),8,5,全時間,全曜日,なし,下降トレンドのみ,1049,1.8,34.4,-554.0,7.98,-4.99,0.839,-583.0,16,412,1.9,36.9,-86.9,7.98,-5.0,0.933,-143.9,10,1.112,50.8,不採用
"MACDクロス(12,26,9)",10,5,21時台,全曜日,なし,なし,969,1.4,33.7,34.1,9.87,-4.97,1.011,-251.5,13,381,1.4,32.5,-48.8,9.97,-5.0,0.962,-130.0,11,0.952,50.7,不採用
"MACDクロス(12,26,9)",8,15,22時台,全曜日,なし,上昇トレンドのみ,385,1.1,59.0,-285.0,7.71,-12.88,0.86,-381.0,7,145,1.2,62.1,-64.8,7.91,-14.13,0.917,-179.5,5,1.066,50.7,不採用
"EMAクロス(5,20)",10,10,東京(9-15時),全曜日,なし,トレンド順方向のみ,977,1.4,48.4,-312.9,9.98,-9.99,0.938,-499.8,9,364,1.5,49.2,-67.1,9.96,-10.0,0.964,-160.0,10,1.028,50.7,不採用
"MACDクロス(12,26,9)",15,10,NY(21-23時),全曜日,なし,上昇トレンドのみ,688,1.5,42.6,174.5,13.5,-9.57,1.046,-275.9,10,262,1.6,40.1,-35.0,14.16,-9.69,0.977,-165.0,9,0.934,50.6,不採用
"MACDクロス(12,26,9)",15,10,ロンドン(16-21時),全曜日,なし,レンジのみ,917,1.6,38.4,-406.3,14.71,-9.88,0.927,-696.4,15,377,1.7,40.1,-43.1,14.62,-9.96,0.981,-305.7,10,1.058,50.6,不採用
"EMAクロス(5,20)",5,20,東京(9-15時),全曜日,なし,なし,2511,2.4,77.6,-1434.0,5.0,-19.85,0.872,-1664.0,4,1002,2.6,79.3,-158.6,5.0,-19.95,0.962,-470.6,3,1.103,50.5,不採用
"EMAクロス(10,50)",8,15,10時台,全曜日,なし,なし,327,1.1,60.9,-323.3,7.98,-14.93,0.831,-432.3,5,112,1.1,61.6,-79.8,8.0,-14.69,0.874,-111.0,4,1.052,50.5,不採用
"EMAクロス(5,20)",8,15,東京(9-15時),全曜日,なし,トレンド順方向のみ,927,1.3,63.2,-408.2,7.99,-14.92,0.92,-530.3,7,356,1.4,64.0,-89.8,7.98,-14.91,0.953,-166.7,7,1.036,50.5,不採用
トレンド押し目(EMA200+RSI40/60),20,20,全時間,全曜日,なし,レンジのみ,1818,1.8,48.8,-861.0,18.81,-18.85,0.951,-1693.1,13,718,1.8,49.6,-86.5,19.13,-19.05,0.987,-546.0,5,1.038,50.5,不採用
"EMAクロス(10,50)",8,15,東京(9-15時),全曜日,なし,トレンド順方向のみ,327,1.1,60.6,-345.5,8.0,-14.96,0.821,-500.5,6,117,1.1,61.5,-86.3,8.0,-14.72,0.87,-107.0,4,1.06,50.5,不採用
"EMAクロス(10,50)",10,10,全時間,全曜日,なし,下降トレンドのみ,1898,2.3,49.2,-212.4,9.93,-9.84,0.978,-465.9,10,837,2.6,49.7,-55.3,9.91,-9.92,0.987,-390.0,7,1.009,50.4,不採用
"MACDクロス(12,26,9)",10,15,9時台,全曜日,なし,レンジのみ,318,1.1,60.7,43.6,9.9,-14.94,1.023,-190.0,5,105,1.1,59.0,-15.3,10.0,-14.77,0.976,-210.3,7,0.954,50.4,不採用
トレンド押し目(EMA200+RSI40/60),10,5,全時間,全曜日,なし,下降トレンドのみ,1044,1.8,30.2,-515.7,9.92,-4.99,0.858,-558.0,16,410,1.9,32.2,-74.9,9.96,-5.0,0.946,-179.9,10,1.103,50.4,不採用
"MACDクロス(12,26,9)",8,15,東京(9-15時),全曜日,なし,レンジのみ,1164,1.7,62.5,-674.8,7.99,-14.89,0.896,-860.2,7,443,1.7,64.3,-80.3,8.0,-14.94,0.966,-318.3,6,1.078,50.4,不採用
"RSI逆張り(30,70)",10,15,ロンドン(16-21時),全曜日,なし,上昇トレンドのみ,576,1.5,56.4,-407.5,9.89,-14.43,0.887,-578.5,8,192,1.6,57.8,-75.8,9.94,-14.56,0.936,-273.3,4,1.055,50.3,不採用
"EMAクロス(10,50)",10,5,16時台,全曜日,なし,なし,382,1.2,32.7,-35.0,10.0,-5.0,0.973,-205.0,12,141,1.2,31.9,-33.8,9.92,-5.0,0.93,-90.0,13,0.956,50.3,不採用
"EMAクロス(5,20)",8,20,全時間,全曜日,なし,下降トレンドのみ,2672,3.0,68.8,-1172.4,7.96,-18.91,0.926,-1457.4,6,1195,3.5,70.8,-126.0,7.94,-19.61,0.982,-592.7,4,1.06,50.3,不採用
"MACDクロス(12,26,9)",5,5,22時台,全曜日,なし,下降トレンドのみ,325,1.4,43.1,-228.8,4.97,-5.0,0.753,-270.0,9,120,1.4,45.8,-53.9,4.93,-5.0,0.834,-80.0,7,1.108,50.3,不採用
"RSI逆張り(30,70)",10,15,9時台,全曜日,なし,なし,492,1.1,60.8,99.2,9.98,-14.94,1.034,-276.5,6,181,1.2,59.1,-28.2,10.0,-14.84,0.974,-255.0,6,0.942,50.3,不採用
"MACDクロス(12,26,9)",10,15,22時台,全曜日,なし,なし,843,1.1,55.2,-604.2,9.46,-13.24,0.879,-754.0,7,322,1.2,58.1,-103.3,9.56,-14.01,0.945,-190.0,6,1.075,50.2,不採用
"EMAクロス(5,20)",8,10,東京(9-15時),全曜日,なし,トレンド順方向のみ,992,1.4,52.8,-481.1,8.0,-9.99,0.897,-602.0,7,371,1.5,54.4,-79.1,7.97,-10.0,0.953,-171.1,9,1.062,50.2,不採用
"RSI逆張り(25,75)",5,5,全時間,全曜日,なし,上昇トレンドのみ,1409,2.3,45.3,-665.0,5.0,-5.0,0.827,-715.0,9,483,2.2,48.0,-95.0,5.0,-5.0,0.924,-170.0,8,1.117,50.1,不採用
"EMAクロス(5,20)",8,20,東京(9-15時),全曜日,なし,下降トレンドのみ,761,1.5,72.4,249.6,7.99,-19.79,1.06,-456.0,4,307,1.6,70.7,-60.6,7.97,-19.9,0.966,-242.6,4,0.911,50.1,不採用
トレンド押し目(EMA200+RSI40/60),10,20,9時台,全曜日,なし,なし,370,1.0,64.6,-169.4,9.96,-19.47,0.934,-559.8,5,118,1.0,64.4,-60.9,10.0,-19.55,0.926,-220.0,3,0.991,50.0,不採用
"EMAクロス(10,50)",5,10,東京(9-15時),全曜日,なし,上昇トレンドのみ,596,1.4,61.2,-485.0,5.0,-10.0,0.79,-550.0,6,248,1.4,63.7,-100.7,5.0,-9.9,0.887,-110.7,7,1.123,50.0,不採用
"MACDクロス(12,26,9)",10,15,NY(21-23時),全曜日,なし,下降トレンドのみ,485,1.5,55.3,-415.1,9.85,-14.08,0.864,-425.8,6,192,1.5,57.8,-84.9,9.92,-14.64,0.928,-206.1,5,1.074,50.0,不採用
"RSI逆張り(30,70)",10,20,東京(9-15時),全曜日,なし,上昇トレンドのみ,618,1.5,62.8,-667.2,10.0,-19.77,0.853,-789.9,6,250,1.5,64.8,-105.9,10.0,-19.61,0.939,-225.9,5,1.101,50.0,不採用
"MACDクロス(12,26,9)",5,15,16時台,全曜日,なし,なし,874,1.2,73.2,-284.3,5.0,-14.89,0.918,-490.6,4,334,1.2,73.4,-96.7,5.0,-14.85,0.927,-215.0,4,1.01,49.9,不採用
"EMAクロス(10,50)",15,5,10時台,全曜日,なし,なし,349,1.1,27.5,168.6,14.88,-4.98,1.134,-110.0,18,123,1.2,24.4,-15.0,15.0,-5.0,0.968,-110.0,12,0.854,49.8,不採用
"EMAクロス(5,20)",10,5,全時間,全曜日,なし,下降トレンドのみ,4517,5.0,33.4,-1.0,9.95,-4.99,1.0,-667.7,20,1901,5.5,33.4,-28.0,9.94,-5.0,0.996,-408.3,18,0.996,49.8,不採用
トレンド押し目(EMA200+RSI40/60),10,5,9時台,全曜日,なし,なし,427,1.2,34.4,70.0,10.0,-5.0,1.05,-155.0,9,139,1.2,31.7,-35.0,10.0,-5.0,0.926,-90.0,8,0.882,49.7,不採用
"EMAクロス(5,20)",10,15,ロンドン(16-21時),全曜日,なし,レンジのみ,579,1.3,59.9,84.8,9.9,-14.44,1.025,-289.5,4,239,1.4,59.0,-43.2,9.87,-14.64,0.97,-311.6,5,0.946,49.7,不採用
"RSI逆張り(30,70)",5,10,全時間,全曜日,なし,下降トレンドのみ,2076,3.0,65.8,-246.6,4.99,-9.94,0.965,-439.0,8,830,3.1,66.0,-83.7,4.99,-10.0,0.97,-398.7,5,1.005,49.7,不採用
"RSI逆張り(30,70)",10,10,全時間,全曜日,なし,下降トレンドのみ,2037,2.9,49.4,-251.6,9.93,-9.94,0.975,-570.1,13,812,3.1,49.5,-69.0,9.98,-9.95,0.983,-509.0,6,1.008,49.6,不採用
"RSI逆張り(30,70)",15,20,16時台,全曜日,なし,なし,361,1.0,57.6,104.6,14.56,-19.1,1.036,-375.5,5,106,1.1,55.7,-36.9,14.77,-19.33,0.959,-235.0,4,0.926,49.6,不採用
"RSI逆張り(25,75)",5,10,全時間,全曜日,なし,上昇トレンドのみ,1287,2.1,64.3,-464.2,5.0,-9.99,0.899,-544.2,6,440,2.0,65.0,-102.0,5.0,-9.95,0.933,-235.0,5,1.038,49.5,不採用
"MACDクロス(12,26,9)",10,20,東京(9-15時),全曜日,なし,上昇トレンドのみ,1122,1.7,62.7,-1243.6,9.98,-19.78,0.85,-1627.9,6,426,1.8,65.3,-120.9,10.0,-19.6,0.958,-357.2,5,1.127,49.5,不採用
"EMAクロス(5,20)",5,15,東京(9-15時),全曜日,なし,上昇トレンドのみ,1005,1.7,70.0,-1008.4,5.0,-14.98,0.777,-1103.4,4,405,1.8,73.3,-135.0,5.0,-15.0,0.917,-305.0,4,1.18,49.5,不採用
"MACDクロス(12,26,9)",20,15,16時台,全曜日,なし,上昇トレンドのみ,331,1.1,43.5,-121.7,18.2,-14.66,0.956,-346.5,7,127,1.1,44.1,-25.3,18.49,-14.94,0.976,-210.0,14,1.021,49.5,不採用
"EMAクロス(10,50)",8,20,東京(9-15時),全曜日,なし,なし,1300,1.5,68.6,-877.9,7.98,-19.61,0.89,-959.1,5,522,1.6,70.1,-140.7,8.0,-19.67,0.954,-307.3,4,1.072,49.5,不採用
"EMAクロス(10,50)",10,15,ロンドン(16-21時),全曜日,なし,下降トレンドのみ,410,1.2,62.4,284.6,9.91,-14.62,1.126,-167.3,5,169,1.4,59.2,-23.7,9.96,-14.78,0.977,-294.4,5,0.868,49.4,不採用
"RSI逆張り(30,70)",15,5,NY(21-23時),全曜日,なし,上昇トレンドのみ,425,1.4,21.9,-415.3,13.29,-4.97,0.749,-410.3,17,140,1.5,23.6,-45.2,14.71,-4.96,0.915,-180.0,13,1.222,49.4,不採用
"MACDクロス(12,26,9)",5,10,22時台,全曜日,なし,なし,920,1.3,61.4,-637.6,4.95,-9.67,0.814,-810.3,7,362,1.4,64.6,-100.5,4.98,-9.9,0.921,-228.7,6,1.131,49.3,不採用
"MACDクロス(12,26,9)",15,5,NY(21-23時),全曜日,なし,なし,1866,2.0,25.3,-183.6,14.26,-4.97,0.974,-497.1,17,734,2.1,25.2,-62.1,14.48,-4.99,0.977,-200.0,15,1.003,49.3,不採用
"RSI逆張り(25,75)",10,15,NY(21-23時),全曜日,なし,なし,446,1.3,50.7,-909.8,9.76,-14.16,0.708,-924.7,6,120,1.3,55.8,-92.3,9.84,-14.18,0.877,-168.0,5,1.239,49.3,不採用
"RSI逆張り(25,75)",20,15,東京(9-15時),全曜日,なし,なし,791,1.4,43.9,165.6,19.54,-14.9,1.025,-443.1,9,303,1.5,42.9,-32.3,19.71,-15.0,0.988,-460.0,7,0.964,49.2,不採用
"MACDクロス(12,26,9)",8,5,9時台,全曜日,なし,なし,1053,1.4,38.7,39.0,8.0,-5.0,1.012,-260.0,12,388,1.5,37.4,-55.0,8.0,-5.0,0.955,-119.0,15,0.944,49.2,不採用
"EMAクロス(10,50)",5,15,東京(9-15時),全曜日,なし,トレンド順方向のみ,333,1.1,69.7,-355.0,5.0,-15.0,0.766,-455.0,4,122,1.2,71.3,-90.0,5.0,-15.0,0.829,-105.0,4,1.082,49.2,不採用
"EMAクロス(5,20)",10,15,ロンドン(16-21時),全曜日,なし,なし,1993,2.0,58.4,-624.8,9.9,-14.66,0.949,-803.7,7,821,2.2,59.1,-122.7,9.93,-14.7,0.975,-259.9,6,1.027,49.1,不採用
"RSI逆張り(30,70)",15,5,全時間,全曜日,なし,レンジのみ,1931,2.2,26.0,125.0,14.47,-5.0,1.018,-455.3,21,729,2.2,25.4,-40.1,14.48,-5.0,0.985,-233.5,19,0.968,49.1,不採用
"EMAクロス(5,20)",5,15,16時台,全曜日,なし,なし,641,1.2,72.2,-321.3,5.0,-14.81,0.878,-356.3,5,266,1.2,72.6,-108.6,5.0,-14.71,0.899,-170.0,4,1.024,49.1,不採用
"EMAクロス(10,50)",8,5,ロンドン(16-21時),全曜日,なし,レンジのみ,493,1.5,38.5,-0.2,7.97,-5.0,1.0,-194.0,9,202,1.6,36.6,-43.8,8.0,-4.97,0.931,-109.0,10,0.931,49.1,不採用
"MACDクロス(12,26,9)",5,20,16時台,全曜日,なし,トレンド順方向のみ,302,1.1,77.8,-112.1,5.0,-19.2,0.913,-272.8,4,102,1.0,77.5,-65.0,5.0,-20.0,0.859,-110.0,2,0.941,49.1,不採用
"RSI逆張り(30,70)",10,10,NY(21-23時),全曜日,なし,なし,878,1.4,49.3,-129.6,9.75,-9.78,0.97,-379.8,9,295,1.4,49.2,-50.9,9.84,-9.86,0.966,-275.5,7,0.996,49.1,不採用
"RSI逆張り(30,70)",8,15,ロンドン(16-21時),全曜日,なし,レンジのみ,342,1.2,68.1,256.5,7.99,-14.72,1.16,-119.0,4,112,1.3,63.4,-47.0,8.0,-15.0,0.924,-85.0,5,0.797,49.1,過剰最適化疑い
"RSI逆張り(30,70)",10,20,全時間,全曜日,なし,上昇トレンドのみ,2171,2.5,63.5,-1414.2,9.85,-18.91,0.906,-1650.8,8,828,2.6,65.7,-92.4,9.9,-19.28,0.983,-548.0,7,1.085,49.0,不採用
"RSI逆張り(25,75)",20,10,ロンドン(16-21時),全曜日,なし,なし,616,1.5,31.8,-540.1,18.51,-9.92,0.87,-762.2,16,213,1.5,32.9,-83.3,19.12,-9.94,0.941,-183.3,8,1.082,49.0,不採用
"EMAクロス(5,20)",8,5,東京(9-15時),全曜日,なし,下降トレンドのみ,1194,2.4,39.4,153.0,8.0,-5.0,1.042,-241.0,14,476,2.5,37.8,-40.0,8.0,-5.0,0.973,-194.0,12,0.934,49.0,不採用
"MACDクロス(12,26,9)",5,5,9時台,全曜日,なし,レンジのみ,398,1.4,46.2,-150.0,5.0,-5.0,0.86,-190.0,9,133,1.4,46.6,-45.0,5.0,-5.0,0.873,-75.0,12,1.015,49.0,不採用
"RSI逆張り(30,70)",8,5,ロンドン(16-21時),全曜日,なし,レンジのみ,403,1.4,37.7,-39.0,8.0,-5.0,0.969,-88.0,9,133,1.5,36.1,-41.0,8.0,-5.0,0.904,-93.0,8,0.933,48.9,不採用
"RSI逆張り(30,70)",15,15,9時台,全曜日,なし,なし,491,1.1,52.7,382.5,14.87,-14.95,1.11,-210.0,8,179,1.2,49.2,-33.2,15.0,-14.87,0.975,-225.0,6,0.878,48.9,不採用
